Usage,Num,Class
train,0001,1
train,0002,1
train,0003,1
train,0004,1
train,0005,1
train,0006,1
train,0007,1
train,0008,1
train,0009,1
train,0010,1
train,0011,1
train,0012,1
train,0013,1
train,0014,1
train,0015,1
train,0016,1
train,0017,1
train,0018,1
train,0019,1
train,0020,1
train,0021,1
train,0022,1
train,0023,1
train,0024,1
train,0025,1
train,0026,1
train,0027,1
train,0028,1
train,0029,1
train,0030,1
train,0031,1
train,0032,1
train,0033,1
train,0034,1
train,0035,1
train,0036,1
train,0037,1
train,0038,1
train,0039,1
train,0040,1
train,0041,1
train,0042,1
train,0043,1
train,0044,1
train,0045,1
train,0046,1
train,0047,1
train,0048,1
train,0049,1
train,0050,1
train,0051,1
train,0052,1
train,0053,1
train,0054,1
train,0055,1
train,0056,1
train,0057,1
train,0058,1
train,0059,1
train,0060,1
train,0061,1
train,0062,1
train,0063,1
train,0064,1
train,0065,1
train,0066,1
train,0067,1
train,0068,1
train,0069,1
train,0070,1
train,0071,1
train,0072,1
train,0073,1
train,0074,1
train,0075,1
train,0076,1
train,0077,1
train,0078,1
train,0079,1
train,0080,1
train,0081,1
train,0082,1
train,0083,1
train,0084,1
train,0085,1
train,0086,1
train,0087,1
train,0088,1
train,0089,1
train,0090,1
train,0091,1
train,0092,1
train,0093,1
train,0094,1
train,0095,1
train,0096,1
train,0097,1
train,0098,1
train,0099,1
train,0100,1
train,0101,1
train,0102,1
train,0103,1
train,0104,1
train,0105,1
train,0106,1
train,0107,1
train,0108,1
train,0109,1
train,0110,1
train,0111,1
train,0112,1
train,0113,1
train,0114,1
train,0115,1
train,0116,1
train,0117,1
train,0118,1
train,0119,1
train,0120,1
train,0121,1
train,0122,1
train,0123,1
train,0124,1
train,0125,1
train,0126,1
train,0127,1
train,0128,1
train,0129,1
train,0130,1
train,0131,1
train,0132,1
train,0133,1
train,0134,1
train,0135,1
train,0136,1
train,0137,1
train,0138,1
train,0139,1
train,0140,1
train,0141,1
train,0142,1
train,0143,1
train,0144,1
train,0145,1
train,0146,1
train,0147,1
train,0148,0
train,0149,0
train,0150,0
train,0151,0
train,0152,0
train,0153,0
train,0154,0
train,0155,0
train,0156,0
train,0157,0
train,0158,0
train,0159,0
train,0160,0
train,0161,0
train,0162,0
train,0163,0
train,0164,0
train,0165,1
train,0166,1
train,0167,1
train,0168,1
train,0169,1
train,0170,1
train,0171,1
train,0172,1
train,0173,1
train,0174,1
train,0175,1
train,0176,1
train,0177,1
train,0178,1
train,0179,1
train,0180,1
train,0181,1
train,0182,1
train,0183,1
train,0184,1
train,0185,1
train,0186,1
train,0187,1
train,0188,1
train,0189,1
train,0190,1
train,0191,1
